Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Europe and Central Asia	Lower	72372	69211	66493	63625	60152	56327	52201	47969	43767	39716	35915	32415	29311	26644	24350	22417	20815	19513	18469	17610	16869	16249	15685	15121	14515	13883	13225	12589	11967	11375
Europe and Central Asia	Median	75424	72083	69264	66177	62570	58673	54419	50069	45758	41603	37679	34063	30833	28051	25678	23656	21972	20544	19401	18447	17623	16904	16273	15647	15022	14396	13778	13172	12604	12043
Europe and Central Asia	Upper	78996	75509	72544	69307	65507	61512	57090	52688	48226	43929	39908	36179	32859	29996	27485	25367	23524	21962	20660	19563	18617	17783	17062	16362	15714	15131	14625	14197	13792	13428
Eastern Europe and Central Asia	Lower	62997	60262	58024	55653	52680	49372	45708	41911	38066	34317	30783	27514	24624	22150	20027	18244	16756	15565	14624	13866	13226	12714	12254	11792	11274	10731	10148	9581	9026	8501
Eastern Europe and Central Asia	Median	66054	63149	60798	58207	55115	51720	47931	44008	40059	36202	32547	29164	26149	23560	21356	19479	17913	16597	15555	14704	13985	13367	12837	12315	11780	11240	10698	10164	9658	9163
Eastern Europe and Central Asia	Upper	69633	66586	64088	61337	58056	54555	50614	46616	42529	38529	34777	31281	28179	25509	23160	21191	19474	18015	16807	15816	14978	14244	13624	13028	12472	11972	11549	11186	10851	10541
Western Europe	Lower	9312	8881	8417	7922	7411	6910	6443	6025	5668	5366	5104	4870	4657	4466	4298	4153	4031	3924	3823	3719	3616	3513	3411	3312	3218	3134	3056	2984	2908	2825
Western Europe	Median	9370	8934	8466	7970	7455	6953	6488	6061	5699	5401	5132	4899	4684	4491	4322	4177	4059	3947	3846	3743	3638	3537	3436	3332	3242	3156	3080	3008	2946	2880
Western Europe	Upper	9429	8993	8524	8022	7504	7002	6526	6102	5739	5432	5168	4931	4717	4524	4353	4207	4083	3975	3871	3768	3664	3560	3457	3356	3263	3177	3101	3035	2981	2936
World	Lower	3714611	3654249	3586132	3513324	3457002	3359323	3252083	3163824	3075040	2962581	2849968	2737664	2624204	2512674	2430906	2300874	2200848	2102203	2022405	1906994	1844427	1729629	1648932	1572159	1503528	1440192	1373616	1315850	1257683	1204413
World	Median	3778513	3716101	3646078	3571261	3514161	3414016	3304646	3215348	3125811	3012929	2899135	2786086	2672281	2560213	2478037	2347799	2247896	2150151	2071247	1956207	1895460	1781838	1703818	1629603	1564420	1504728	1442559	1387277	1334911	1284531
World	Upper	3854274	3787806	3714699	3637606	3579555	3477511	3367137	3277011	3186438	3073284	2958619	2844535	2729842	2618678	2536673	2405908	2307551	2210700	2133624	2020962	1962950	1853651	1781859	1715823	1660236	1613516	1566773	1526763	1494260	1463959
																															
Estimates of Child deaths age 1 to 4 by Sustainable Development Goal region																															
Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Least developed countries	Lower	1309075	1303872	1297861	1292866	1309781	1286778	1256205	1244289	1228109	1194309	1160851	1123614	1082967	1041247	998998	956837	915441	874981	851351	792474	783184	717906	682997	648886	619736	594436	565435	543794	524766	505219
Least developed countries	Median	1334269	1328994	1322902	1317900	1335404	1312186	1281288	1269731	1253696	1219784	1186150	1149329	1108989	1066974	1024564	983081	942012	902505	880744	823379	816064	752754	720359	687807	660297	635903	607840	586708	567850	548393
Least developed countries	Upper	1363519	1358505	1352461	1347803	1366162	1342971	1312163	1301123	1285257	1251510	1217980	1181375	1140703	1099148	1057057	1016623	976615	939014	920087	865821	862800	803982	776372	748913	727276	709844	689951	677703	668742	659890
Landlocked developing countries	Lower	656030	658139	659204	660797	683995	668030	645485	643593	639417	620331	603286	584467	563202	540577	517235	494246	471643	449751	428391	405931	383869	363268	342692	321624	303916	288369	272545	259350	246888	235209
Landlocked developing countries	Median	673462	675317	676390	678118	701934	685329	662197	660124	655852	636344	619229	600078	578373	555305	531763	508461	485815	463935	443086	421022	399534	379778	360359	340516	324159	309701	295385	283535	272306	261655
Landlocked developing countries	Upper	692257	694385	695252	696859	721808	705105	681470	679654	675365	655175	637930	618690	596367	572811	548941	525537	502621	480946	460529	439037	418694	400399	382867	365578	352274	341823	331889	325167	319234	313901
Small island developing States	Lower	24952	24235	23504	22770	22035	21307	20580	19874	19156	18482	17837	17217	16635	16090	15606	15104	14645	14169	13679	13205	39499	12061	11602	11147	10728	10282	9787	9314	8851	8380
Small island developing States	Median	26104	25331	24568	23824	23072	22338	21602	20899	20178	19503	18851	18242	17666	17121	16615	16103	15627	15157	14695	14278	43689	13225	12837	12467	12087	11705	11274	10857	10440	10017
Small island developing States	Upper	27349	26545	25752	24981	24214	23461	22706	21995	21253	20588	19969	19385	18828	18296	17805	17313	16866	16444	16038	15678	48828	14813	14591	14365	14172	13936	13727	13503	13310	13157
Northern America and Europe	Lower	31217	29891	28716	27321	25697	24112	22507	21058	19730	18546	17505	16609	15830	15178	14620	14136	13715	13348	13032	12750	12486	12231	11965	11654	11295	10906	10500	10086	9668	9219
Northern America and Europe	Median	31560	30225	29034	27640	25995	24400	22788	21314	19962	18764	17694	16775	15974	15306	14732	14238	13815	13437	13125	12841	12578	12322	12057	11745	11381	10996	10601	10203	9829	9458
Northern America and Europe	Upper	32010	30659	29464	28064	26405	24799	23162	21657	20276	19026	17927	16975	16148	15454	14862	14363	13929	13551	13228	12939	12674	12420	12150	11838	11471	11087	10699	10331	9997	9716
Northern America	Lower	7438	7274	7087	6874	6646	6416	6191	5984	5794	5629	5487	5373	5287	5217	5163	5112	5054	4989	4906	4809	4697	4577	4452	4329	4215	4106	3993	3873	3748	3586
Northern America	Median	7560	7394	7196	6981	6750	6517	6293	6082	5887	5720	5575	5460	5369	5298	5243	5191	5133	5066	4984	4884	4771	4649	4525	4401	4284	4174	4072	3979	3893	3807
Northern America	Upper	7692	7519	7312	7089	6854	6619	6392	6179	5982	5809	5661	5546	5452	5383	5328	5278	5221	5151	5064	4961	4845	4723	4596	4470	4351	4244	4156	4091	4050	4042
Europe	Lower	23676	22518	21535	20361	18964	17615	16241	14999	13862	12847	11953	11173	10488	9910	9410	8979	8617	8319	8086	7904	7751	7620	7476	7287	7044	6765	6472	6173	5873	5569
Europe	Median	24000	22831	21838	20659	19245	17883	16495	15232	14075	13044	12119	11315	10605	10008	9489	9047	8682	8371	8141	7957	7807	7673	7532	7344	7097	6822	6529	6224	5936	5651
Europe	Upper	24429	23246	22252	21070	19641	18266	16847	15566	14372	13289	12332	11493	10752	10125	9586	9134	8752	8441	8204	8018	7867	7734	7592	7405	7159	6879	6582	6285	5999	5741
Latin America and the Caribbean	Lower	127705	120054	112437	104932	97770	90909	84447	78409	76578	70129	63109	58860	54955	51393	48178	45313	42693	40339	38193	36265	61307	32794	31360	30055	28855	27749	27222	25690	24577	23503
Latin America and the Caribbean	Median	132536	124498	116533	108722	101170	94051	87315	81100	79032	72395	65195	60801	56699	53023	49638	46624	43944	41525	39327	37356	65474	33843	32428	31165	30020	28970	28506	27089	26061	25092
Latin America and the Caribbean	Upper	138103	129632	121334	113098	105229	97699	90671	84138	81927	74954	67604	63030	58846	54995	51470	48299	45512	43031	40813	38842	70688	35392	34090	32959	31953	31059	30828	29620	28878	28229
